# MEAN_SAMPLE_SIZE = 112238
# TOTAL_GENES = 19235
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
SET                        NGENES       BETA   BETA_STD         SE            P FULL_NAME
Curated_gene_sets:bioc...      22       0.42     0.0142      0.223     0.030251 Curated_gene_sets:biocarta_ccr3_pathway
Curated_gene_sets:bioc...      12      0.455     0.0114      0.284     0.054748 Curated_gene_sets:biocarta_cd40_pathway
Curated_gene_sets:bioc...      18      0.185    0.00566       0.19      0.16493 Curated_gene_sets:biocarta_mcm_pathway
Curated_gene_sets:bioc...      28       0.49     0.0187      0.191    0.0051031 Curated_gene_sets:biocarta_g1_pathway
Curated_gene_sets:bioc...      24     0.0576    0.00203      0.185      0.37756 Curated_gene_sets:biocarta_g2_pathway
Curated_gene_sets:bioc...      12     -0.111   -0.00278      0.285      0.65198 Curated_gene_sets:biocarta_cell2cell_pathway
Curated_gene_sets:bioc...      16    -0.0183  -0.000528      0.249      0.52926 Curated_gene_sets:biocarta_lair_pathway
Curated_gene_sets:bioc...      21      0.571     0.0188      0.215    0.0039769 Curated_gene_sets:biocarta_ceramide_pathway
Curated_gene_sets:bioc...      17      0.461     0.0137      0.215     0.015905 Curated_gene_sets:biocarta_tid_pathway
Curated_gene_sets:bioc...      11      0.146    0.00349      0.323       0.3256 Curated_gene_sets:biocarta_classic_pathway
Curated_gene_sets:bioc...      15     -0.158   -0.00441      0.257      0.73083 Curated_gene_sets:biocarta_comp_pathway
Curated_gene_sets:bioc...      12    -0.0164  -0.000409      0.282      0.52315 Curated_gene_sets:biocarta_vdr_pathway
Curated_gene_sets:bioc...      29      0.541      0.021      0.181    0.0013849 Curated_gene_sets:biocarta_hdac_pathway
Curated_gene_sets:bioc...      19      0.891      0.028      0.224    3.588e-05 Curated_gene_sets:biocarta_gcr_pathway
Curated_gene_sets:bioc...      23      0.392     0.0135      0.205     0.028179 Curated_gene_sets:biocarta_ctcf_pathway
Curated_gene_sets:bioc...      12      0.276    0.00689      0.309      0.18622 Curated_gene_sets:biocarta_ctl_pathway
Curated_gene_sets:bioc...      24      0.719     0.0254      0.219   0.00050303 Curated_gene_sets:biocarta_cxcr4_pathway
Curated_gene_sets:bioc...      24      0.486     0.0171      0.203    0.0082477 Curated_gene_sets:biocarta_cellcycle_pathway
Curated_gene_sets:bioc...      12      0.305    0.00762      0.267      0.12672 Curated_gene_sets:biocarta_cftr_pathway
Curated_gene_sets:bioc...      19     -0.295   -0.00928      0.227      0.90341 Curated_gene_sets:biocarta_cytokine_pathway
Curated_gene_sets:bioc...      25     -0.108   -0.00391      0.206      0.70112 Curated_gene_sets:biocarta_inflam_pathway
Curated_gene_sets:bioc...      13     0.0883    0.00229       0.29      0.38034 Curated_gene_sets:biocarta_d4gdi_pathway
Curated_gene_sets:bioc...      22      -0.21   -0.00711       0.22      0.83026 Curated_gene_sets:biocarta_dc_pathway
Curated_gene_sets:bioc...      11    -0.0938   -0.00224      0.296       0.6241 Curated_gene_sets:biocarta_p35alzheimers_pathway
Curated_gene_sets:bioc...       9      0.211    0.00456       0.31      0.24793 Curated_gene_sets:biocarta_rna_pathway
Curated_gene_sets:bioc...      18    -0.0289  -0.000883      0.201      0.55724 Curated_gene_sets:biocarta_mta3_pathway
Curated_gene_sets:bioc...      10      0.709     0.0162      0.308     0.010637 Curated_gene_sets:biocarta_skp2e2f_pathway
Curated_gene_sets:bioc...      18      0.201    0.00614      0.241      0.20293 Curated_gene_sets:biocarta_calcineurin_pathway
Curated_gene_sets:bioc...      30      0.255     0.0101      0.191     0.090438 Curated_gene_sets:biocarta_egf_pathway
Curated_gene_sets:bioc...      10      0.183    0.00417       0.32      0.28388 Curated_gene_sets:biocarta_etc_pathway
Curated_gene_sets:bioc...      18      0.182    0.00557      0.221      0.20466 Curated_gene_sets:biocarta_ndkdynamin_pathway
Curated_gene_sets:bioc...       9      0.307    0.00665      0.332      0.17725 Curated_gene_sets:biocarta_epha4_pathway
Curated_gene_sets:bioc...      18      0.299    0.00915       0.21     0.077347 Curated_gene_sets:biocarta_epo_pathway
Curated_gene_sets:bioc...      24     0.0393    0.00139      0.199      0.42172 Curated_gene_sets:biocarta_ecm_pathway
Curated_gene_sets:bioc...      27      0.309     0.0116      0.198     0.059639 Curated_gene_sets:biocarta_erk_pathway
Curated_gene_sets:bioc...      15      0.384     0.0107      0.242     0.056572 Curated_gene_sets:biocarta_eryth_pathway
Curated_gene_sets:bioc...      11      0.606     0.0145      0.265     0.011071 Curated_gene_sets:biocarta_eponfkb_pathway
Curated_gene_sets:bioc...      14      0.265    0.00714      0.256      0.15023 Curated_gene_sets:biocarta_eif_pathway
Curated_gene_sets:bioc...      13     -0.298   -0.00773      0.333      0.81435 Curated_gene_sets:biocarta_extrinsic_pathway
Curated_gene_sets:bioc...      30      0.476     0.0188      0.172     0.002778 Curated_gene_sets:biocarta_fas_pathway
Curated_gene_sets:bioc...      36      0.347      0.015      0.163     0.016755 Curated_gene_sets:biocarta_fcer1_pathway
Curated_gene_sets:bioc...       9     0.0829    0.00179      0.319      0.39739 Curated_gene_sets:biocarta_feeder_pathway
Curated_gene_sets:bioc...      12     -0.556    -0.0139      0.316      0.96076 Curated_gene_sets:biocarta_fibrinolysis_pathway
Curated_gene_sets:bioc...      34       0.14    0.00588      0.175      0.21145 Curated_gene_sets:biocarta_fmlp_pathway
Curated_gene_sets:bioc...       8      0.376    0.00767      0.321      0.12025 Curated_gene_sets:biocarta_free_pathway
Curated_gene_sets:bioc...       9    -0.0963   -0.00208      0.314      0.62064 Curated_gene_sets:biocarta_gaba_pathway
Curated_gene_sets:bioc...      16      0.226    0.00653      0.241      0.17366 Curated_gene_sets:biocarta_gata3_pathway
Curated_gene_sets:bioc...       9     0.0796    0.00172      0.285      0.38989 Curated_gene_sets:biocarta_glycolysis_pathway
Curated_gene_sets:bioc...      11     0.0679    0.00162      0.301      0.41086 Curated_gene_sets:biocarta_set_pathway
Curated_gene_sets:bioc...      28      0.486     0.0185       0.17    0.0020666 Curated_gene_sets:biocarta_gh_pathway
Curated_gene_sets:bioc...      11     -0.153   -0.00366      0.287      0.70274 Curated_gene_sets:biocarta_ahsp_pathway
Curated_gene_sets:bioc...       9      0.063    0.00136      0.378      0.43387 Curated_gene_sets:biocarta_tcapoptosis_pathway
Curated_gene_sets:bioc...      55      0.194     0.0103      0.122     0.056496 Curated_gene_sets:biocarta_hivnef_pathway
Curated_gene_sets:bioc...      13      0.235     0.0061      0.239      0.16306 Curated_gene_sets:biocarta_salmonella_pathway
Curated_gene_sets:bioc...      34      0.336     0.0141      0.159     0.017451 Curated_gene_sets:biocarta_mpr_pathway
Curated_gene_sets:bioc...      17      0.781     0.0232      0.246   0.00076413 Curated_gene_sets:biocarta_hcmv_pathway
Curated_gene_sets:bioc...      20      0.237    0.00764      0.194      0.11098 Curated_gene_sets:biocarta_p53hypoxia_pathway
Curated_gene_sets:bioc...      15      0.451     0.0126      0.253     0.037711 Curated_gene_sets:biocarta_hif_pathway
Curated_gene_sets:bioc...      20       0.68     0.0219       0.22    0.0009865 Curated_gene_sets:biocarta_igf1_pathway
Curated_gene_sets:bioc...      15      -0.12   -0.00336      0.273      0.66998 Curated_gene_sets:biocarta_il17_pathway
Curated_gene_sets:bioc...      20     -0.221   -0.00711      0.222      0.83974 Curated_gene_sets:biocarta_il2_pathway
Curated_gene_sets:bioc...      14    -0.0309  -0.000834      0.241      0.55105 Curated_gene_sets:biocarta_il3_pathway
Curated_gene_sets:bioc...      10      0.159    0.00364      0.284      0.28714 Curated_gene_sets:biocarta_il4_pathway
Curated_gene_sets:bioc...       8      -0.28   -0.00572       0.34      0.79521 Curated_gene_sets:biocarta_il5_pathway
Curated_gene_sets:bioc...      21     0.0105   0.000347      0.202      0.47927 Curated_gene_sets:biocarta_il6_pathway
Curated_gene_sets:bioc...      16      0.031   0.000893      0.296      0.45831 Curated_gene_sets:biocarta_il10_pathway
Curated_gene_sets:bioc...      20     -0.152    -0.0049      0.204      0.77207 Curated_gene_sets:biocarta_il12_pathway
Curated_gene_sets:bioc...      37     0.0966    0.00423      0.161      0.27408 Curated_gene_sets:biocarta_il2rb_pathway
Curated_gene_sets:bioc...      16      0.213    0.00615      0.253      0.19954 Curated_gene_sets:biocarta_il22bp_pathway
Curated_gene_sets:bioc...      16     0.0108    0.00031      0.253      0.48301 Curated_gene_sets:biocarta_il7_pathway
Curated_gene_sets:bioc...      26      0.316     0.0116      0.179     0.038592 Curated_gene_sets:biocarta_gsk3_pathway
Curated_gene_sets:bioc...      31      0.292     0.0117      0.175     0.047562 Curated_gene_sets:biocarta_death_pathway
Curated_gene_sets:bioc...      25        0.8     0.0288      0.196   2.3149e-05 Curated_gene_sets:biocarta_raccycd_pathway
Curated_gene_sets:bioc...      23      0.284     0.0098      0.205      0.08377 Curated_gene_sets:biocarta_gleevec_pathway
Curated_gene_sets:bioc...      21      0.529     0.0175      0.209    0.0056957 Curated_gene_sets:biocarta_insulin_pathway
Curated_gene_sets:bioc...      37      0.086    0.00377      0.153        0.287 Curated_gene_sets:biocarta_integrin_pathway
Curated_gene_sets:bioc...      19     -0.184   -0.00578      0.249      0.77004 Curated_gene_sets:biocarta_intrinsic_pathway
Curated_gene_sets:bioc...      44      0.243     0.0116      0.153     0.055926 Curated_gene_sets:biocarta_keratinocyte_pathway
Curated_gene_sets:bioc...       9    -0.0276  -0.000598      0.343      0.53215 Curated_gene_sets:biocarta_tcra_pathway
Curated_gene_sets:bioc...       9     -0.212   -0.00458      0.315      0.74914 Curated_gene_sets:biocarta_lectin_pathway
Curated_gene_sets:bioc...      28      0.226    0.00862       0.19      0.11721 Curated_gene_sets:biocarta_pyk2_pathway
Curated_gene_sets:bioc...      11      0.161    0.00384      0.308      0.30076 Curated_gene_sets:biocarta_egfr_smrte_pathway
Curated_gene_sets:bioc...      83     0.0664    0.00435      0.105      0.26418 Curated_gene_sets:biocarta_mapk_pathway
Curated_gene_sets:bioc...      24      0.113      0.004      0.183      0.26854 Curated_gene_sets:biocarta_mcalpain_pathway
Curated_gene_sets:bioc...      55      0.182    0.00974      0.132      0.08408 Curated_gene_sets:biocarta_ppara_pathway
Curated_gene_sets:bioc...      19      0.373     0.0117      0.232     0.053578 Curated_gene_sets:biocarta_ets_pathway
Curated_gene_sets:bioc...      10     -0.105   -0.00239      0.312      0.63127 Curated_gene_sets:biocarta_monocyte_pathway
Curated_gene_sets:bioc...      23      0.291       0.01      0.198     0.070971 Curated_gene_sets:biocarta_mtor_pathway
Curated_gene_sets:bioc...      23      0.434      0.015       0.19     0.010997 Curated_gene_sets:biocarta_igf1r_pathway
Curated_gene_sets:bioc...      15    -0.0786   -0.00219      0.245      0.62597 Curated_gene_sets:biocarta_pitx2_pathway
Curated_gene_sets:bioc...      17      0.599     0.0178      0.247    0.0077158 Curated_gene_sets:biocarta_ngf_pathway
Curated_gene_sets:bioc...      26       0.42     0.0154      0.194     0.015501 Curated_gene_sets:biocarta_vip_pathway
Curated_gene_sets:bioc...      53      0.179    0.00941      0.136       0.0931 Curated_gene_sets:biocarta_nfat_pathway
Curated_gene_sets:bioc...      22      0.215    0.00728      0.223      0.16703 Curated_gene_sets:biocarta_nthi_pathway
Curated_gene_sets:bioc...      19      0.312     0.0098      0.223     0.080489 Curated_gene_sets:biocarta_nfkb_pathway
Curated_gene_sets:bioc...      21      0.172    0.00567      0.214      0.21182 Curated_gene_sets:biocarta_nos1_pathway
Curated_gene_sets:bioc...      16     -0.179   -0.00515      0.248      0.76486 Curated_gene_sets:biocarta_no2il12_pathway
Curated_gene_sets:bioc...      15     0.0716      0.002      0.244      0.38471 Curated_gene_sets:biocarta_rarrxr_pathway
Curated_gene_sets:bioc...      14     -0.016  -0.000432      0.233      0.52738 Curated_gene_sets:biocarta_nuclearrs_pathway
Curated_gene_sets:bioc...      13      0.159    0.00413      0.274      0.28095 Curated_gene_sets:biocarta_arenrf2_pathway
Curated_gene_sets:bioc...      39   -0.00952  -0.000428      0.148      0.52567 Curated_gene_sets:biocarta_p38mapk_pathway
Curated_gene_sets:bioc...      16      0.248    0.00715      0.237       0.1471 Curated_gene_sets:biocarta_p53_pathway
Curated_gene_sets:bioc...      31      0.293     0.0118      0.188     0.059717 Curated_gene_sets:biocarta_pdgf_pathway
Curated_gene_sets:bioc...      17    -0.0564   -0.00168      0.252      0.58843 Curated_gene_sets:biocarta_ccr5_pathway
Curated_gene_sets:bioc...      22      0.458     0.0155      0.186    0.0068518 Curated_gene_sets:biocarta_ptdins_pathway
Curated_gene_sets:bioc...      12      0.392    0.00978       0.27     0.073701 Curated_gene_sets:biocarta_plce_pathway
Curated_gene_sets:bioc...      28      0.289      0.011      0.196     0.070148 Curated_gene_sets:biocarta_edg1_pathway
Curated_gene_sets:bioc...      11      0.508     0.0121      0.323     0.057672 Curated_gene_sets:biocarta_cdk5_pathway
Curated_gene_sets:bioc...      29    -0.0313   -0.00121      0.188      0.56613 Curated_gene_sets:biocarta_myosin_pathway
Curated_gene_sets:bioc...      11     -0.531    -0.0127      0.332      0.94524 Curated_gene_sets:biocarta_plateletapp_pathway
Curated_gene_sets:bioc...      14      0.026   0.000702      0.256      0.45948 Curated_gene_sets:biocarta_ps1_pathway
Curated_gene_sets:bioc...      28     0.0732    0.00279      0.176      0.33828 Curated_gene_sets:biocarta_proteasome_pathway
Curated_gene_sets:bioc...      15      0.137    0.00382      0.222      0.26909 Curated_gene_sets:biocarta_akapcentrosome_pathway
Curated_gene_sets:bioc...      18      0.539     0.0165      0.226    0.0085427 Curated_gene_sets:biocarta_pten_pathway
Curated_gene_sets:bioc...      11      0.207    0.00494      0.278       0.2289 Curated_gene_sets:biocarta_rab_pathway
Curated_gene_sets:bioc...      23      0.443     0.0153      0.212     0.018578 Curated_gene_sets:biocarta_rac1_pathway
Curated_gene_sets:bioc...      21      0.443     0.0146      0.226     0.024867 Curated_gene_sets:biocarta_ras_pathway
Curated_gene_sets:bioc...      20      0.301    0.00969      0.231     0.096138 Curated_gene_sets:biocarta_nkcells_pathway
Curated_gene_sets:bioc...      13      0.498     0.0129      0.266     0.030689 Curated_gene_sets:biocarta_rb_pathway
Curated_gene_sets:bioc...      41     0.0937    0.00432      0.145      0.25943 Curated_gene_sets:biocarta_chrebp2_pathway
Curated_gene_sets:bioc...      25      0.562     0.0202      0.182     0.001019 Curated_gene_sets:biocarta_bad_pathway
Curated_gene_sets:bioc...      17    0.00479   0.000142      0.222      0.49141 Curated_gene_sets:biocarta_ck1_pathway
Curated_gene_sets:bioc...      10   -0.00712  -0.000162      0.315      0.50902 Curated_gene_sets:biocarta_eif2_pathway
Curated_gene_sets:bioc...      24      0.401     0.0142        0.2     0.022454 Curated_gene_sets:biocarta_eif4_pathway
Curated_gene_sets:bioc...      15     0.0701    0.00196       0.25      0.38952 Curated_gene_sets:biocarta_stem_pathway
Curated_gene_sets:bioc...      14      0.358    0.00967      0.237     0.065122 Curated_gene_sets:biocarta_p27_pathway
Curated_gene_sets:bioc...      23     -0.231   -0.00799      0.202      0.87344 Curated_gene_sets:biocarta_pgc1a_pathway
Curated_gene_sets:bioc...      16      0.673     0.0194      0.231     0.001785 Curated_gene_sets:biocarta_pml_pathway
Curated_gene_sets:bioc...      14      0.471     0.0127      0.251     0.030517 Curated_gene_sets:biocarta_dream_pathway
Curated_gene_sets:bioc...      11     -0.206   -0.00492      0.298       0.7555 Curated_gene_sets:biocarta_leptin_pathway
Curated_gene_sets:bioc...      29      0.103      0.004      0.162      0.26209 Curated_gene_sets:biocarta_rho_pathway
Curated_gene_sets:bioc...      12      0.225    0.00562      0.253      0.18646 Curated_gene_sets:biocarta_akap13_pathway
Curated_gene_sets:bioc...      21     0.0504    0.00167      0.201        0.401 Curated_gene_sets:biocarta_atrbrca_pathway
Curated_gene_sets:bioc...      18       0.63     0.0193      0.255    0.0066981 Curated_gene_sets:biocarta_cardiacegf_pathway
Curated_gene_sets:bioc...      22      0.222    0.00749      0.211      0.14647 Curated_gene_sets:biocarta_her2_pathway
Curated_gene_sets:bioc...      18      0.567     0.0173      0.228    0.0064641 Curated_gene_sets:biocarta_erk5_pathway
Curated_gene_sets:bioc...      19      0.364     0.0114       0.22     0.048903 Curated_gene_sets:biocarta_mal_pathway
Curated_gene_sets:bioc...      18     0.0733    0.00224      0.242      0.38093 Curated_gene_sets:biocarta_mef2d_pathway
Curated_gene_sets:bioc...      19      0.112    0.00351      0.209      0.29598 Curated_gene_sets:biocarta_mitochondria_pathway
Curated_gene_sets:bioc...      16      0.316    0.00911      0.242     0.095819 Curated_gene_sets:biocarta_ach_pathway
